# a0 a2 a4 a6 delta sigma
1.00000 0.24636 -0.05338 0.00000 0.00 1.35
1.00000 0.24544 -0.05291 0.00000 0.00 1.35
1.00000 0.24452 -0.05246 0.00000 0.00 1.35
1.00000 0.24361 -0.05200 0.00000 0.00 1.35
1.00000 0.24271 -0.05156 0.00000 0.00 1.36
1.00000 0.24181 -0.05111 0.00000 0.00 1.36
1.00000 0.24091 -0.05067 0.00000 0.00 1.36
1.00000 0.24001 -0.05024 0.00000 0.00 1.37
1.00000 0.23912 -0.04981 0.00000 0.00 1.37
1.00000 0.23824 -0.04938 0.00000 0.00 1.37
1.00000 0.23736 -0.04896 0.00000 0.00 1.38
1.00000 0.23648 -0.04855 0.00000 0.00 1.38
1.00000 0.23561 -0.04813 0.00000 0.00 1.38
1.00000 0.23474 -0.04773 0.00000 0.00 1.38
1.00000 0.23388 -0.04732 0.00000 0.00 1.39
1.00000 0.23302 -0.04692 0.00000 0.00 1.39
1.00000 0.23216 -0.04653 0.00000 0.00 1.39
1.00000 0.23131 -0.04613 0.00000 0.00 1.40
1.00000 0.23046 -0.04575 0.00000 0.00 1.40
1.00000 0.22962 -0.04536 0.00000 0.00 1.40
1.00000 0.22878 -0.04498 0.00000 0.00 1.41
1.00000 0.22794 -0.04461 0.00000 0.00 1.41
1.00000 0.22711 -0.04424 0.00000 0.00 1.41
1.00000 0.22628 -0.04387 0.00000 0.00 1.41
1.00000 0.22546 -0.04350 0.00000 0.00 1.42
1.00000 0.22464 -0.04314 0.00000 0.00 1.42
1.00000 0.22382 -0.04279 0.00000 0.00 1.42
1.00000 0.22301 -0.04243 0.00000 0.00 1.43
1.00000 0.22220 -0.04208 0.00000 0.00 1.43
1.00000 0.22139 -0.04174 0.00000 0.00 1.43
1.00000 0.22059 -0.04139 0.00000 0.00 1.44
1.00000 0.21980 -0.04105 0.00000 0.00 1.44
1.00000 0.21900 -0.04072 0.00000 0.00 1.44
1.00000 0.21821 -0.04038 0.00000 0.00 1.44
1.00000 0.21743 -0.04005 0.00000 0.00 1.45
1.00000 0.21665 -0.03973 0.00000 0.00 1.45
1.00000 0.21587 -0.03941 0.00000 0.00 1.45
1.00000 0.21509 -0.03909 0.00000 0.00 1.46
1.00000 0.21432 -0.03877 0.00000 0.00 1.46
1.00000 0.21356 -0.03846 0.00000 0.00 1.46
1.00000 0.21279 -0.03815 0.00000 0.00 1.47
1.00000 0.21203 -0.03784 0.00000 0.00 1.47
1.00000 0.21128 -0.03753 0.00000 0.00 1.47
1.00000 0.21052 -0.03723 0.00000 0.00 1.47
1.00000 0.20977 -0.03694 0.00000 0.00 1.48
1.00000 0.20903 -0.03664 0.00000 0.00 1.48
1.00000 0.20829 -0.03635 0.00000 0.00 1.48
1.00000 0.20755 -0.03606 0.00000 0.00 1.49
1.00000 0.20681 -0.03577 0.00000 0.00 1.49
1.00000 0.20608 -0.03549 0.00000 0.00 1.49
1.00000 0.20535 -0.03521 0.00000 0.00 1.50
1.00000 0.20463 -0.03493 0.00000 0.00 1.50
1.00000 0.20391 -0.03465 0.00000 0.00 1.50
1.00000 0.20319 -0.03438 0.00000 0.00 1.50
1.00000 0.20247 -0.03411 0.00000 0.00 1.51
