# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.16279 -0.07326 0.00000 -26.76 3.00
1.00000 -0.16283 -0.07326 0.00000 -26.64 3.00
1.00000 -0.16286 -0.07325 0.00000 -26.52 3.00
1.00000 -0.16290 -0.07325 0.00000 -26.40 3.00
1.00000 -0.16293 -0.07325 0.00000 -26.28 3.00
1.00000 -0.16297 -0.07325 0.00000 -26.16 3.00
1.00000 -0.16301 -0.07325 0.00000 -26.04 3.00
1.00000 -0.16305 -0.07325 0.00000 -25.92 3.00
1.00000 -0.16309 -0.07325 0.00000 -25.80 3.00
1.00000 -0.16312 -0.07325 0.00000 -25.68 3.00
1.00000 -0.16316 -0.07325 0.00000 -25.56 3.00
1.00000 -0.16320 -0.07325 0.00000 -25.44 3.00
1.00000 -0.16324 -0.07324 0.00000 -25.32 3.00
1.00000 -0.16328 -0.07324 0.00000 -25.20 3.00
1.00000 -0.16332 -0.07324 0.00000 -25.08 3.00
1.00000 -0.16336 -0.07324 0.00000 -24.96 3.00
1.00000 -0.16340 -0.07324 0.00000 -24.84 3.00
1.00000 -0.16344 -0.07324 0.00000 -24.72 3.00
1.00000 -0.16348 -0.07324 0.00000 -24.60 3.00
1.00000 -0.16353 -0.07324 0.00000 -24.48 3.00
1.00000 -0.16357 -0.07324 0.00000 -24.36 3.00
1.00000 -0.16361 -0.07323 0.00000 -24.24 3.00
1.00000 -0.16366 -0.07323 0.00000 -24.12 3.00
1.00000 -0.16370 -0.07323 0.00000 -24.00 3.00
1.00000 -0.16374 -0.07323 0.00000 -23.88 3.00
1.00000 -0.16379 -0.07323 0.00000 -23.76 3.00
1.00000 -0.16383 -0.07323 0.00000 -23.64 3.00
1.00000 -0.16388 -0.07323 0.00000 -23.52 3.00
1.00000 -0.16392 -0.07323 0.00000 -23.40 3.00
1.00000 -0.16397 -0.07322 0.00000 -23.28 3.00
1.00000 -0.16401 -0.07322 0.00000 -23.16 3.00
1.00000 -0.16406 -0.07322 0.00000 -23.04 3.00
1.00000 -0.16411 -0.07322 0.00000 -22.92 3.00
1.00000 -0.16416 -0.07322 0.00000 -22.80 3.00
1.00000 -0.16421 -0.07322 0.00000 -22.68 3.00
1.00000 -0.16425 -0.07322 0.00000 -22.56 3.00
1.00000 -0.16430 -0.07321 0.00000 -22.44 3.00
1.00000 -0.16435 -0.07321 0.00000 -22.32 3.00
1.00000 -0.16440 -0.07321 0.00000 -22.20 3.00
1.00000 -0.16445 -0.07321 0.00000 -22.08 3.00
1.00000 -0.16450 -0.07321 0.00000 -21.96 3.00
1.00000 -0.16456 -0.07321 0.00000 -21.84 3.00
1.00000 -0.16461 -0.07320 0.00000 -21.72 3.00
1.00000 -0.16466 -0.07320 0.00000 -21.60 3.00
1.00000 -0.16471 -0.07320 0.00000 -21.48 3.00
1.00000 -0.16477 -0.07320 0.00000 -21.36 3.00
1.00000 -0.16482 -0.07320 0.00000 -21.24 3.00
1.00000 -0.16488 -0.07319 0.00000 -21.12 3.00
1.00000 -0.16493 -0.07319 0.00000 -21.00 3.00
1.00000 -0.16499 -0.07319 0.00000 -20.88 3.00
1.00000 -0.16505 -0.07319 0.00000 -20.76 3.00
1.00000 -0.16510 -0.07319 0.00000 -20.64 3.00
